S_ID,Strategy / Capability,Action,Description,Scale,Category,Category2,Strategy_Type,Adj_Weight,Strategy_Type2,R1A,R1B,R2A,R2B,R3A,R3B,R4A,R4B,R5A,R5B,Rcount,Rs
115,Substation Hardening (District Level),Implement Substation Hardening Strategies (District Level),"Substations are susceptible to physical damage (natural or malicious). Hardening a substation at the district level (i.e., adding physical protections) can mitigate the risk of physical damage to the facilities within that district. The degree to which substation hardening is appropriate depends on the substation’s vulnerability to physical damage, which can range from a concrete wall to a Faraday cage.",District,Power Distribution,NULL,Infrastructure Hardening,5,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
116,District Microgrid,Install a District-level Microgrid,"The U.S. Department of Energy defines a microgrid as “a group of interconnected loads and distributed energy resources within clearly defined electrical boundaries that acts as a single controllable entity with respect to the grid. Having a microgrid can connect and disconnect from the grid to enable it to operate in both grid-connected or island-mode” (Ton and Smith, 2012, p. 84). This strategy considers configuring a district within an installation into a microgrid, enabling greater functionality and more efficient use of resources to continue operations during a utility power outage. Energy generation can also be operationalized to balance loads and contribute to cost savings especially when paired with a microgrid. A microgrid requires appropriate cybersecurity measures.",District,Power Distribution,NULL,Microgrid,5,Microgrid,,,NULL,1,NULL,1,NULL,1,NULL,NULL,4,"R2A R2B R3B R4B "
117,Alternate Supply Paths (Power) (District Level),Mitigate Single Points of Failure / Loop Lines (Power) (District Level),"A single point of failure in the power distribution means that failure at one point causes disruption to all downstream loads. At the district level, a single point of failure can be a single substation transformer or a distribution line. This strategy requires looping all of the distribution lines from the district substation, providing redundant feeders and distribution equipment, and using other strategies that enable alternate routes for power supply whenever an element of the distribution system fails.",District,Power Distribution,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
118,Automatic Sectionalizers on Distribution Lines (District Level),Install Automatic Sectionalizers on Distribution Lines (District Level),An automatic sectionalizer is a device that automatically opens circuits on the distribution line to isolate faulted sections. Isolating the faulted section limits the extent of an outage caused by failure in the distribution line so more facilities can continue normal operation until the failure is repaired. This strategy is applicable to all local district infrastructure.,District,Power Distribution,NULL,Single Points of Failure,3,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R2A R5A "
119,District Substation Interconnect (Back feeding),Interconnect / Back feed District Substations,"Primary substations are subject to failure during unpredictable events. Interconnecting substations can allow a district served by one substation to be sustained by the backup substation if there is a failure at the primary substation. Interconnecting substations means the district served by the substation can sustain normal operations until the repair is made, reducing reliance on backup systems. This strategy is fully in place if it has been tested and confirmed that at least 90% of the installation load is capable of being carried over without the transformer(s) loaded over 75%.",District,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,2,"R2A R4B "
120,Redundant Electrical Feeder to District Substation (District Level),Install a Redundant Electrical Feeder to District Substation (District Level),"A primary feeder can be subject to failure during unpredictable events. Providing a redundant electrical feeder to a district substation allows power to be sustained if there is a failure along the primary feeder (supply). A redundant electrical feeder means that the district served by the substation can sustain normal operations until the repair is made, reducing reliance on backup systems.",District,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
121,Adequate Substation Capacity (District Level),Upgrade Substation Capacity (District Level),Existing or projected loads serving a district need to be met to support mission needs. This strategy involves ensuring that the existing substation capacity is adequate to meet all existing or projected loads served by the substation (or increasing currently inadequate substation capacity such that it does).,District,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
122,Remote Substation Monitoring and Controls (District Level),Upgrade Substation Controls (District Level),"Substation components are subject to failure during unpredictable events. Upgrading substation control packages can provide enhanced protection and remote capabilities for the substation equipment, simplifying the operator’s role. At the district level, substations with better controls can be more easily integrated with the electrical distribution system and can respond promptly in case of failure in the network.",District,Power Distribution,NULL,Substation Infrastructure,2,Substation Infrastructure,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R2A R4B "
123,Adequate Electrical Transmission Condition (Installation Level),Repair Existing Electrical Transmission Circuits (Installation Level),"The condition of an installation’s power transmission system may be inadequate if sections of the system have repeated failure or reliability issues. Bringing the transmission system into adequate condition may include replacing aging towers, replacing aging lines, or replacing air-insulated substations that are approaching 30 years old with gas-insulated substations.",Installation,Power Distribution,NULL,Infrastructure Hardening,5,Infrastructure Hardening,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R1B R3B "
124,Insulated Power Line Replacement,Replace Existing Overhead Power Lines with Insulated Wires,Lines may spark when hit by foreign objects and create a safety hazard. Replacing overhead power lines with insulated wire reduces the risk of these lines sparking when hit by tree limbs or other objects.,Installation,Power Distribution,NULL,Infrastructure Hardening,3,Infrastructure Hardening,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
125,Substation Hardening (Installation Level),Implement Substation Hardening Strategies (Installation Level),"Substations are susceptible to physical damage (natural or malicious). Hardening a substation at the installation level mitigates the risk of physical damage (natural or malicious) to the installation. The degree to which substation hardening is appropriate depends on the substation’s vulnerability to physical damage, which can range from a concrete wall to a Faraday cage.",Installation,Power Distribution,NULL,Infrastructure Hardening,5,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
126,Critical Load Connection to Backup Power Circuit (Installation Level),Connect Critical Loads to Backup Power Circuit (Installation Level),"At the installation level, critical loads can be entire facilities. Dedicating an electrical circuit for critical loads in an installation enables the isolation of critical loads when providing backup power. If not all facilities are critical, the backup power system can be configured to power just the critical facilities, which lowers the sustainment capacity that is required and extends the time frame that loads can be supported during an outage.",Installation,Power Distribution,NULL,Install Backup System,4,Install Backup System,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R3B R4A "
127,Installation Microgrid,Install an Installation-level Microgrid,"The U.S. Department of Energy defines a microgrid as “a group of interconnected loads and distributed energy resources within clearly defined electrical boundaries that acts as a single controllable entity with respect to the grid. Having a microgrid can allow connect and disconnect from the grid to enable it to operate in both grid-connected or island-mode” (Ton and Smith, 2012, p. 84). This strategy considers configuring the entire installation as a microgrid, enabling greater functionality and more efficient use of resources to continue operations during a utility power outage. Energy generation can also be operationalized to balance loads and contribute to cost savings especially when paired with a microgrid. A microgrid requires appropriate cybersecurity measures.",Installation,Power Distribution,NULL,Microgrid,5,Microgrid,,,NULL,1,NULL,1,NULL,1,NULL,NULL,4,"R2A R2B R3B R4B "
128,Alternate Supply Paths (Power) (Installation Level),Mitigate Single Points of Failure / Loop Lines (Power) (Installation Level),"A single point of failure in the power distribution means that failure at one point causes disruption to all downstream loads. At the installation level, a single point of failure can be a single substation transformer or a transmission line. This strategy requires looping all of the distribution lines from the installation substation, providing redundant feeders and distribution equipment, and using other strategies that enable alternate routes for power supply whenever an element of the transmission/distribution system fails.",Installation,Power Distribution,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
129,Automatic Sectionalizers on Distribution Lines (Installation Level),Install Automatic Sectionalizers on Distribution Lines (Installation Level),An automatic sectionalizer is a device that automatically opens circuits on the distribution line to isolate faulted sections. Isolating the faulted section limits the extent of an outage caused by failure of the distribution line so more facilities can continue normal operations until the failure is repaired. This strategy is applicable to all installation infrastructure.,Installation,Power Distribution,NULL,Single Points of Failure,3,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R2A R5A "
130,Alternate Substation Connection (Off-site Level),Connect to an Alternative Substation,"Utility supply from primary substations is subject to failure during unpredictable events. Connecting the base electrical distribution infrastructure to an alternate off-site utility substation allows at least some of the installation power demand to be met by the alternate substation, reducing the likelihood of a base-wide power outage. Installing or connecting to an alternate substation may also help increase the total capacity available to meet installation power demand.",Off-site,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,2,"R2A R4B "
131,Installation Substation Interconnect (Back feeding),Interconnect / Back feed Installation Substations,"Primary substations are subject to failure during unpredictable events. Interconnecting substations can allow an installation served by one substation to be sustained by the backup substation if there is a failure at the primary substation. Interconnecting substations means that the installation served by the substation can sustain normal operations until the repair is made, reducing reliance on backup systems.",Installation,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,2,"R2A R4B "
132,Remote Substation Controls / Operations (Installation Level),Install Remote Substation Controls / Operations (Installation Level),"The capability to control substation switches remotely may require updating the switchgear at the substation level. Remote control allows the grid operator to quickly reroute power supply to critical loads when a circuit is compromised without the need to send personnel to the location, significantly reducing recovery time.",Installation,Power Distribution,NULL,Substation Infrastructure,2,Substation Infrastructure,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
133,Secondary Electric Utility Provider,Secondary Transmission Connection (Utility Provider),"Depending on the nature of the failure, power supply from a secondary utility provider may not be compromised when there is an outage from the primary provider. This strategy considers providing a secondary transmission connection to a different electric utility provider where available. This strategy is superior to a secondary transmission line from the same utility provider.",Off-site,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,"R2A R2B "
134,Redundant Transmission Feeder to Installation Substation(s),Install a Secondary Transmission Feeder,"If a single transmission feeder supplies power to the installation, a failure anywhere along the feeder can disrupt power to the base. This strategy considers providing a secondary transmission connection to the same utility provider. By installing a secondary transmission feeder, either through a redundant feeder to the same substation or an alternate entry point to the installation, backup utility supply can be ensured if there is a failure along the primary transmission supply.",Off-site,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
135,Adequate Substation Capacity (Installation Level),Upgrade Substation Capacity (Installation Level),Existing or projected loads required by an installation may increase over time. This strategy involves ensuring that the existing substation capacity is adequate to meet all existing or projected loads served by the substation (or increasing currently inadequate substation capacity such that it does).,Installation,Power Distribution,NULL,Substation Infrastructure,5,Substation Infrastructure,,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
136,Remote Substation Monitoring and Controls (Installation Level),Upgrade Substation Controls (Installation Level),"An installation’s electrical distribution network can be disturbed during a substation failure. Upgrading substation control packages can provide enhanced protection and remote capabilities to substation equipment, simplifying the operator’s role. At the installation level, better substation controls can minimize the impact of substation failures on the installation’s electrical distribution network.",Installation,Power Distribution,NULL,Substation Infrastructure,2,Substation Infrastructure,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
137,Building Envelope Security/Hardening Strategies,Implement Building Envelope Security/Hardening Strategies,"A building envelope is susceptible to damage during unpredictable events. Improving the physical protection of critical facilities can help the facility withstand identified threats to its energy and water supply. This strategy reduces the risk of energy systems being compromised and can include, for example, housing external HVAC components and structural supports for ducting.",Building,Security,NULL,Infrastructure Hardening,3,Infrastructure Hardening,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1A R1B "
138,Critical Operations at Secure Facility,Relocate Critical Operations to Secure Facility,The energy and water infrastructure at secure facilities has a reduced risk of disruption due to greater levels of protection and facility hardness than at non-secured facilities. Properly securing critical energy and water infrastructure operations allows the operations to be more resilient by reducing exposure to risk of disruption.,Installation,Security,NULL,Emergency Protocols,3,Emergency Protocols,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1A R1B "
139,Installation-wide SCADA System (Wastewater),Upgrade/Install Base-Wide SCADA System (Wastewater),"SCADA systems for wastewater allow personnel to monitor and, if necessary, operate all of the installation’s water systems from a single terminal and/or remotely. The implementation of SCADA systems can reduce workforce needs, allow rapid identification of equipment failures, and speed recovery from failures. SCADA systems require appropriate cybersecurity measures. SCADA systems for wastewater are applicable only at installations with dedicated wastewater treatment plants.",Installation,Controls & COMS,NULL,Water Strategies,3,Energy Management,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
140,Low-Flow Plumbing Fixtures,Install Low-Flow Plumbing Fixtures,"Replacing conventional plumbing fixtures with low-flow fixtures (e.g., toilets, faucets, showers) decreases facility water demand, which reduces the sustained capacity requirement for the installation.",Building,Water,NULL,Building Retrofits,1,Building Retrofits,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
141,Water Conservation Measures (Building Level),Implement Water Conservation Measures (Building Level),"Water supply sources can be limited and unsustainable over time. Implementing water conservation measures at the facility level can decrease facility water demand, which reduces potential strain on water supply sources and improves critical sustainment capacity.",Building,Water,NULL,Building Retrofits,1,Building Retrofits,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
142,Alternate Water Supply Connection for Cooling Equipment,Install an Alternative Water Supply Connection for Cooling Equipment,"Cooling equipment is often the primary critical water need in a facility. This strategy involves installing an alternate connection (e.g., second piped connection, portable water tank connection, secondary potable water connection) for cooling equipment.",Building,Water,NULL,Install Backup System,3,Install Backup System,,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R4A "
143,Non-potable Water Supply Connection for Cooling Equipment,Install a Non-potable Water Supply Connection for Cooling Equipment,"Cooling equipment does not necessarily require potable water for operation. If non-potable water is available (especially if it is from on-base treatment), replacing potable water with recycled, non-potable water for cooling can improve supply reliability and alleviate potable water supply constraints. Adding a non-potable connection can also serve as a backup in case of failure in the primary water supply.",Building,Water,NULL,Install Backup System,2,Install Backup System,,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
144,Backup Water Supply (Building Level),Backup Water Supply (Building Level),"If the main water utility supply to the facility fails, a backup means of supplying water (e.g., local storage tank, secondary water pipe, water buffalo connection) can avoid a loss of mission function, especially for facilities with critical water demands.",Building,Water,NULL,Water Strategies,3,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
145,Redundant/Looped Water Line (District Level),Install Redundant/Looped Water Line (District Level),"Water systems may be subject to a single point of failure. Installing water distribution lines in a looped configuration (i.e., no dead ends) allows water to be rerouted to sustain supply during a failure at any point (e.g., pipe failure). At the district level, this strategy includes looped distribution from the point of connection to the water main and connection to multiple water mains.",District,Water,NULL,Single Points of Failure,4,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
146,Backup Water Supply (District Level),Backup Water Supply (District Level),"If water supply fails at the installation or off-site level, a backup water supply at the district level allows critical water loads within the district to be sustained (e.g.,, water storage tanks that are filled via installation supply and large enough to sustain the district for a sufficient period).",District,Water,NULL,Water Strategies,3,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
147,Backup Power for Circulation Pumps,Install Backup Power for Circulation Pumps,"If the installation relies on circulation pumps for water distribution (i.e., not gravity fed), water supply can be disrupted in a power outage if the pumps do not have backup power supply. Having backup power can sustain circulation of water supply through an outage.",Installation,Water,NULL,Backup Water Systems,3,Backup Water Systems,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
148,Backup Power for Lift Stations (Storm/Sanitary Sewer),Install Backup Power for Water Treatment Plant Equipment,"If the installation relies on lift stations for storm and/or sanitary sewer conveyance (i.e., not gravity conveyance), storm/sanitary sewers can begin backing up during a power outage if the lift stations do not have a backup power supply. Backup power can sustain lift station operation during an outage.",Installation,Water,NULL,Backup Water Systems,3,Backup Water Systems,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
149,Backup Power for Wastewater Treatment Plant,Install Backup Power for Water Treatment Plant Equipment,An installation’s wastewater treatment plant may be a critical load in that lost power can cause backups and damage throughout the installation’s sewer system. Backup power can sustain operation during an outage.,Installation,Water,NULL,Backup Water Systems,3,Backup Water Systems,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
150,Backup Power for Water Treatment Plant,Install Backup Power for Water Treatment Plant Equipment,"If an installation relies on a water treatment plant for potable water supply (i.e., no municipal connection), it may be critical to sustain this load during an outage. Backup power can sustain plant operation during an outage, ensuring that it can maintain supply for critical water demands.",Installation,Water,NULL,Backup Water Systems,3,Backup Water Systems,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
151,Backup Power for Water Wells,Install Backup Power for Water Wells,"Power outages may occur and disrupt water well function. If the installation has water wells for potable water supply, backup power for well pumps can sustain water supply during a power outage.",Installation,Water,NULL,Backup Water Systems,3,Backup Water Systems,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
152,Portable Generator Quick-Connect for Wells,Install Portable Backup Power Quick-Connect for Wells,"If an installation has wells for water supply but the wells are determined to be less critical than those requiring permanent generators (e.g., the wells are redundant or the well field serves as backup to municipal supply), the water supply may be unreliable during an outage. This strategy involves installing a portable generator quick-connect to improve water supply reliability.",Installation,Water,NULL,Backup Water Systems,2,Backup Water Systems,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
153,Prioritized Emergency Water Allocation Protocol,Establish a Protocol for Prioritized Emergency Water Allocation,"If the installation is facing a water shortage, critical water demands will need to be supplied while noncritical demands can be shed. Some water demands will be a top priority (e.g., water for cooling server racks). Establishing a protocol involves prioritizing critical water demands, similar to generator refueling prioritization, to reduce risk of critical equipment failure during a water supply disruption.",Installation,Water,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
154,Installation-wide SCADA System (Water),Upgrade Installation-Wide SCADA System (Water),"SCADA systems for water allow personnel to monitor and, if necessary, operate all of the installation’s water systems from a single terminal and/or remotely. SCADA systems can reduce workforce needs, allow rapid identification of equipment failures, and speed recovery from failures. SCADA systems require appropriate cybersecurity measures.",Installation,Controls & COMS,NULL,Energy Management,3,Energy Management,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
155,Submetering on Water Systems (Installation Level),Install Submetering on Water Systems (Installation Level),Monitoring a building’s system performance allows localized response to issues and optimization opportunities. This strategy identifies equipment that is compromised and resources whose consumption could be reduced. This strategy focuses on monitoring water systems at an installation-wide scale.,Installation,Water,NULL,Energy Management,2,Water Strategies,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R3A R4B "
156,Water Distribution Hardening Strategies (Installation Level),Implement Water Distribution Hardening Strategies (Installation Level),"The installation’s water distribution infrastructure is subject to physical damage, such as from a natural disaster or malicious attack. This strategy includes burying the water distribution infrastructure, encasing it in concrete, and routing it through secure areas. The system can be considered sufficiently hardened when the risk to physical damage is deemed to be low and must be balanced with the target of ease of repair/recovery.",Installation,Water,NULL,Infrastructure Hardening,3,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
157,Water Vulnerability/Resiliency Assessment,Conduct a Water Vulnerability/Resiliency Assessment,"A water system may have a single point of failure that causes system failure. Conducting a water vulnerability/resiliency assessment can identify the potential weaknesses in a water supply, treatment, and distribution system. The assessment should be performed by a third party and guide future work to improve the resiliency of the system.",Installation,Water,NULL,Infrastructure Hardening,2,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R1B R4A "
158,Emergency Water Truck Capacity,Procure/Increase Emergency Water Truck Capacity,"During a disruption to utility water supply, water trucks may be relied on to meet critical water demand. In a widespread and/or prolonged disruption, a single water truck may be insufficient to continuously provide backup water supply. This strategy involves procuring an additional supply truck.",Installation,Water,NULL,Procurement,2,Procurement,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R2A R3B "
159,Redundant/Looped Water Main (Installation Level),Install Redundant/Looped Water Main (Installation Level),"A single point of failure in the water supply means that failure at one point causes disruption to all downstream service. Configuring the water supply to be able to reroute mitigates the impact of single points of failure. Examples at the installation level are interconnected systems (i.e., ability to back feed) and looped configuration (i.e., no dead ends). Looped water mains can also benefit water quality.",Installation,Water,NULL,Single Points of Failure,4,Single Points of Failure,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
160,Backup Water Supply (Installation Level),Backup Water Supply (Installation Level),"Many installations rely on a single source for potable water. A backup water supply can serve critical water demands in case of a supply disruption. A backup water supply includes a municipal supply backing up a well field, a well field backing up a municipal supply, or a secondary municipal supply.",Installation,Water,NULL,Water Strategies,3,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
161,Base Water Rights Documentation,Collect Base Water Rights Documentation,Many installations hold rights to the use of surface waters or groundwater. Legally documenting these rights ensures that the installation will have access to water in case of future scarcity.,Installation,Water,NULL,Water Strategies,2,Water Strategies,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R4A "
162,Collaborative Groundwater Resource Planning,Collaborative Groundwater Resource Planning,"Some bases rely on groundwater supplies that come from aquifers that are also used by other organizations. Having base personnel coordinate with these entities and plan water withdrawals can ensure that there is enough aquifer supply for long-term use. In some cases, this planning is mandated at the state level (e.g., California’s Sustainable Groundwater Management Act).",Installation,Water,NULL,Water Strategies,2,Water Strategies,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R3B R4A "
163,Reverse Osmosis Processing Unit (ROPU),Install a Reverse Osmosis Processing Unit (ROPU),ROPUs are transportable equipment that generate potable water from an available source of non-potable water through reverse osmosis. ROPUs can provide emergency water in the case of failure or inoperability of the base’s primary water treatment process.,Installation,Water,NULL,Water Strategies,2,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
164,On-Site Water Supply Capacity,Install Water Wells,"If the installation relies on local water sources for its main water supply (e.g. wells, surface water), ensuring that the well fields have sufficient capacity helps supply peak water demand. If the installation has well field access as backup to a municipal supply, ensuring that the well field has sufficient capacity helps supply critical water demand.",Installation,Water,NULL,Water Strategies,4,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
165,Contractor Emergency Availability Protocol (Water),Establish Contractor Emergency Availability Protocol (Water),"If some or all of an installation’s water infrastructure is privatized, the contract or other supporting documentation should include provisions for the contractor’s responsibility in emergencies (e.g., specified response times to failures, priority status in disaster response).",Off-site,Other,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
166,Off-site Domestic Water Connection,Install an Off-site Domestic Water Connection,"Original water sources rely on supply chains that may be subject to failure. An off-site domestic water connection can improve the water supply availability for the installation. This strategy includes a connection to a nearby municipal supply, especially when paired with a well field potable water supply.",Off-site,Water,NULL,Water Strategies,4,Water Strategies,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,2,"R2B R3B "
